max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
34,13,3,1,0.26276612281799316,1293514a-6234-4744-9a00-27ad0316735e
13,2,2,2,0.13543367385864258,2d176c63-0944-4a1f-9b6c-07aeda62271f
144,8,2,1,0.11441850662231445,c0a996de-1308-4fa0-93e5-4fbedf4a963c
55,55,2,2,0.1304917335510254,6b961c8d-aaf9-4d90-9618-68f3867267d2
34,55,2,2,0.13220763206481934,081e7044-b2fd-4472-b0bc-c682252bd274
5,55,2,2,0.15382695198059082,e67ecf19-9076-41e1-aa3b-9b7ce40ed8e5
34,21,13,5,0.1286764144897461,eca56291-b774-401e-8255-9447251f2b1e
233,144,5,3,0.15105390548706055,b1213840-6197-4119-b8a5-fb49882039d6
233,89,5,5,0.15689373016357422,5c653ab8-4fda-4f75-bbef-ecd75502b781
987,21,2,8,0.13585829734802246,ba1068d8-a1e1-44d3-a9df-6c6ee3580603
4181,5,2,2,0.2614922523498535,327ae11d-c86c-4447-b217-745a5dff7a67
610,2,3,5,0.16029000282287598,c0182921-c6f3-46e3-a8e4-327fa354e5a1
